review,sentiment
this app functions great does everything i need it to do,1
fast and easy has every thing,1
very user friendly,1
thanks to chase my life is much easier now,1
like the new update easy to navigate,1
password keeps resetting touchid was missing but added recently simple things like paying someone by email is a problemquick cash requires additional setupoverall  poor user experience,1
no major issues with app the updates are consistent keep up the great work chase proud to be a customer,1
this has to be one of the best bank app ive used keep up the good work,1
itd be nice to get multiple alerts for different amounts of remaining money an account,0
easy to use and full capabilities,1
comprehensive financial information easily access to carry on your banking business,1
such a lifesaver app  has helped to a great extentespecially when out of statethank you chase for such a fabulous app,1
havent had any issues yet,1
some functions are not easy to use otherwise great app,1
accurate and reliable and easy to use,1
see above,1
friendly amp easy,1
dont recommend banking here multiple times have i had money never show up into my account after putting it in as a deposit in person they never did anything so yea dont bank here,1
great app very user friendly and secure one of my favorite apps,0
convenient and easy to use,1
this app has made my banking so much easier,1
this app is quick and basic i only have type of account,1
one of the most easy to follow and understanding application that ive ever use chase you guys are the best,1
enjoy it very much very easy to use thanks chase bank,1
great app does everything without glitches,1
quick and easy to use,1
nicely integrated feature with finger print scanner login,1
making mobile deposits should be quick easy and stress free buy it isnt right now with this chase app seriously frustrating and time consuming,1
the app is working well,1
always works well for me,1
great app but it randomly decides to shut off the touch id and preview a couple of times a month  wonderful features though,0
works amazing the alerts let me know when a charge occurs instantaneous,1
your app is great i can check my account every morning rain or shine,1
love it and it is very easy to use,1
great app  do all of my banking from my phone  works great and super simple,1
this app is great because it allows me to check my account quickly,1
i got all my family members enjoying chase bank and the app,1
this app is greatvery easy to use,1
i really like this app its easy to use and hardly ever have any problems with it,1
this is often down as are the bank drive up teller booths  check sometimes dont show who the check was made out to  not consistent,1
nice app easy to use and very convenient in monitoring checking acct and paying bills,1
reliable and easy to use especially with touch screen entry,1
really like this app easy to use and has a great overview of all of my info,1
easy to use a must download if your a customer,1
this app does everything i need it to do well done,1
i used this app everyday its simple sleek and laserfocused on what i need to know nothing more nothing less,1
love mobile deposit transferring money is easy love that i can use my fingerprint,1
easy to use should add touch access like citibank has though,1
play the app on the go  of the time have no trouble logging on to check my balances and transactions,1
love this app  even an old bitty like me finds this easy to navigate  thanks chase,1
best banking app out there their app is the number one reason i refuse to leave chase bank,1
easy to use and so easy to do transactions,1
everything works perfectly,0
very military friendly and the customer service is the best they really strive to help the customers,1
its so convenient and easy to access the account information its great app,1
is easy and simple to use every days,0
very annoying since every few weeks it asks me to login again and set touch id settings,1
use every day and its so easy to use love all the features on it,1
as far as banking apps go chase is the best,1
i just got the app and works perfectly i ,0
i had to choose between here and bank of america and idk they just seem to win my votes  i love chase ,1
