review,sentiment
no problem with constant improvement i switched to chase once being approved for a car loan some ten years ago i just thought it was easier to make a transfer between accounts than make a payment ive never looked back before i knew it chase was my only bank the tools offered on app were not complete but still better than the rest for personal banking along the years ive been a part of the many changes on app and banking these guys are great at first it was annoying with partial app use in the weekend i always that that should not be done when perhaps the app gets most used whatever i actually look forward to the changes the last one were complete access is available without having to sign in again is welcomed its going to be hard for me to change banks im also a world traveler one day i can be in canada the next in casablanca morocco then a few days later the usa and few more more days in mexico  it was hard when i first starting banking with chase because of their fraud security it took a phone call and that was it want to increase the amount of funds using atm all it took was a phone call why is this important because in some areas i travel cards are not accepted as long as theres a atm i can get cash and pay for car rentals hotels meals etc a  limit will not workall to say yup i like this app,1
i live  minutes away from the nearest branch and this app lets me do basically all of my banking  the main reason i stopped using local banks was lack of overdraft protection which unfortunately was a problem for my wife and i until she landed a decent paying job  being over drafted for bills should say we were having financial trouble but not allowing us the opportunity to deposit cash i made from tips the night before to catch it up and instead charging a painful  dollar fee was killing me  chase offers overdraft protection so it became a no brainer even though i live almost an hour away from the nearest branch  even considering this distance i usually dont have to worry about depositing cash or withdrawals just my paycheck being deposited which this app does beautifully and quickly with zero hassle  i can view my statements and every transaction quickly  it got old typing in my password all the time but since they added the finger print login its gold  i also have the security of knowing i should have a nearby branch almost anywhere we move when my wife and i finish school and hopefully get better jobs chase wont have to worry about us switching banks if they keep this level of service up and avoid punishment fees that kick the small man while hes down ,1
i am very annoyed with this app i do like being able to check my balance and recent checking and credit card transactions but mostly i was looking forward to being able to use the quick deposit feature saving trips to the bank recently i received a ridiculously small check for  cents from some kind of class action settlement not worth a trip to the bank but i thought it would be a good chance to try the quick deposit feature it asked me to enter the amount and then to take pictures of the front and back of the check against a dark background without any shaky camera blur this took a bit of work but went ok only after that did the app inform me that  cents was too small for the quick deposit feature okay that was annoying but whatever next time i had a check from my employer for about  i scoured the chase website for information about quick deposit size limits but found nothing so i went through the whole process i entered the amount and the app then asked me to take photos of the check again only after taking the photos did the app stop me this time to tell me the check was too large of course it didnt tell me what the size limit actually is so annoying chase be up front about the check amount minimum and maximum and design the app so it will warn users before having to photograph their checks its such a simple usability issue and it needs to be fixed,0
i dont see how so many people on the reviews complain about not showing current amount and how things are pending constantly yes people thats what happens in your bank account when you use it daily i actually enjoy the fact that chase shows my updated available balance even when charges are pending the exception for checking accounts would be if you were to go eat at a restaurant obviously pending balance doesnt include any tips yet so mentally subtract your tip amount from the available amount and there you go also for credit cards it can take a while for the pending to go away and available balances to show correctly but once again thats how banking works the only instantaneous thing would be if you were at the bank in person depositing or withdrawing cash obviously youre not since we are rating the cell phone app all in all for a bank app that easily lets me check my balances and due dates im very impressed ive been using the app for years and now will continue to do so as for anyone still questioning the apps capabilities due to pending or unsure balances if it bothers you so much then follow your own balances in a check book if you dont want to do that then dont complain about it,1
you can do almost every function the full site allows you to do directly from the app the only recommendations i havethings i didnt care for are that if you get a fraud alert and your card is suspended you cannot confirm transactions as authorized from the app you still have to wait for the email from chase that can sometimes take  hours this can be embarrassing when waiting in line buying groceries with people behind you the other down side is that when you get notifications from the app you have to log in and take a not so ergonomic route to where you can clear the notifications so they dont show as pending on your home screen icon its easy to set up fingerprint login or disable it if you prefer to type in your password transactions all show in real time you can email concerns or questions directly to chase from the app and view details on your transactions even when they are pending overall this is a great app once last downside is that you cannot use the mobile deposit option if you have had an overdraft in the past year which is discouraging since the nearest branch for me is  hours away each way you would think that they would allow you to make deposits so you could avoid going overdraft,1
i use this app every day its pretty simply laid out intuitive there are some things i wish i could do within it that i guess i could do on the desktop i never use a desktop like nickname accounts but for the most part i never find it frustrating and it works nimbly it combines my multiple personal accounts and business accounts in one app but separates them in different tabs so i get a discrete snapshot of my personal financial health and business financial health it allows me to mobile deposit checks to any of these accounts its a huge timesaver especially since the chase location  in walking distance of my home  is closing ah such is the oasis future of the walkin bank  lastly i really appreciate the ease with accessing credit card information particularly a rewards screen its very simple and i can even book a ticket quickly and another window one more cool thing about this app when i launch it it shows one of several set images of the city where i live and not just a bland austin skyline but shots of nest local areas pretty neat customization and way to make the customer feel that chase is connected to them personally i would really miss this feature if it went away more photos please,1
i have been a long time chase customer and have been using this app for years as others have mentioned it is a pain to have to navigate to the alerts and message center i have several accounts and in the alert center it doesnt tell you which account the alert is for you also dont have a way to choose the default alert account i had an account for a nonprofit that i handled with almost no activity but this was the account that the alert center defaulted to instead of my regular checking which is what most of the alerts were for also as mentioned in other reviews the messages in the message center are redundant and  of the time the message center doesnt load so i have to go back into alerts then back into messages to be able to see the messages this has been an issue through many versions of the app one last issue i have is how many steps you have to go through in order to schedule a payment through bill pay you used to be able to schedule a payment very easily and intuitively from the home screen you now have to navigate through many steps i order to setup or see your automatic payments it is a huge pain when this very important features used to be very easy to use and now is not i am not all impressed with the app as it has lowered or lost a lot of its functionality since previous versions,0
i dont like big banks and this bank is right at the top  i ended up with an account through chase through a third party regardless their app is very useful for balance review  the fingerprint access is very handy enough that i wish my favored banks were able to include this in their apps  using manual entry as a backup is convenient the layout is helpful and intuitive balance straight away the logic feature seems to always be in the upper right corner however i constantly find myself looking for it in the menu upper left i had a problem with fingerprint recognition but it turned out my case was dirty between the case and the phone rather than on the touch surface i dont really use it for much else outside of the balance review and ocd monitoring one nice tidbit for their websiteapp is the categorization  i think they spent too much time on  it though as the categories make too much sense that i become a conspiracy theorist no group entity government or business needs to know that much info about me  for my needs i think theyre move away from keeping incompetent bank staff every experience at their banks is horrible to improving their tech department is probably their best move three stars because their tech department is really striving for better service  the rest of this bank not so much if at all,1
im not a technology gifted person im almost  and ive been using this app for over  years now the alerts are superb have no idea why anyone could have an issue with this feature they can be set to a txt and  or email as needed they can be set with a wide variety of parameters to notify you of a wide variety of situations i highly recommend taking the time to set them up twice i have caught fraudulent transactions within minutes of the fact the online deposit feature is great i never have to stop at the bank  transferring money from account to account is as easy as it can be and instantly in the receiving account  i pay  of my bills through the bill pay feature on line and with this app without one issue this is a very powerful app and as for performance the developers have really done a great job at making a very reliable product i do recommend that if you use this app install the updates i do recommend this app to my friends and family the only way i think they could make this app better is if they could figure out how to make my phone spit out cash like the atm im kidding about that but not about this flawless app,1
i love the check deposit feature this actually made me open a chase checking account i used to just have their credit card the only downside is the  limit but i really dont have many checks that hit that limit everyone who is whining about their paychecks being too big to go through mine is too thank you please enter the st century and get direct deposit the person to person quick pay is actually not quick at all it works well for situations in which you will have repeated transactions with the same person but not just paying a random friend once in a blue moon this is due to the fact that if you dont have a chase bank account they make the person you are sending or receiving money tofrom go through a drawn out account setup which involves verifying  small deposits made to your bank account this makes it impractical for one off use  however once you complete the initial account setup its actually pretty easy there after so if you pay or get paid from someone weekly or monthly its definitely worth your time to set it up and better than sending a check overall this app and chase is far ahead of the services provided at any other bank great job,1
